姓名    学号   语文  数学   英语     
陈果    31     57    68      82
李华明  32     88    90      68
张明东  33     48    42      56
李明国  34     50    45      87
陈道亮  35     47    58      77
赵欣      36     62    71    83
孙浩      37     75    82    79
钱丽      38     58    63    65
周楠      39     66    70    81
吴超      40     54    49    68
郑峰      41     85    78    80
王玲      42     62    74    77
李静      43     59    66    69
张宇      44     73    84    88
刘佳      45     60    50    57
黄涛      46     79    83    82
周杰      47     68    72    75
朱薇      48     90    95    93
何林      49     49    45    60
许琴      50     61    73    69
